t_id;c_ticker;c_name;industry;mcap_m1;mcap_log;mcap_group;large_cap;mid_cap;small_cap;ebitda_margin;debt_ebitda;cash_assets_ratio;pb_ratio;announced_date;target_public;cash_payment_pct;deal_mcap;cross_border;car_1;car_2;car_1_beta_adjusted;car_2_beta_adjusted
IQTR1867780682;ETTE;Etteplan Oyj (HLSE:ETTE);Industrials;376,5745412;5,931116012;mid;0;1;0;9,5888;182,9349447;8,236388892;119,7009947;2024-01-08 00:00:00;0;86,5;4,546244668;1;0,595576824;0,96189661;0,46699654;0,747596137
IQTR1867785910;GAMA;Gamma Communications plc (LSE:GAMA);Communication Services;1332,851262;7,195075733;mid;0;1;0;19,5322;-122,4730112;28,74894674;220,3864512;2024-01-08 00:00:00;0;100;2,211049412;0;0,593209831;0,966543751;0,416018731;0,671225252
IQTR1867790430;NORRH;Norrhydro Group Oyj (HLSE:NORRH);Industrials;26,13785599;3,263384684;small;0;0;1;2,318;1369,217125;5,500721367;93,22612752;2024-01-08 00:00:00;0;;1,6642528;0;0,587484434;0,984661375;0,327276312;0,550981171
IQTR1867824132;506734;Mysore Petro Chemicals Limited (BSE:506734);Industrials;13,34262751;2,590963986;small;0;0;1;-19,3786;1066,257083;;;2024-01-08 00:00:00;0;100;8,618992015;1;0,636118436;1,05311164;-0,028138957;-0,053984014
IQTR1867849025;SAAS;Microlise Group plc (AIM:SAAS);Information Technology;152,3402374;5,026116423;small;0;0;1;7,736;-274,8195789;12,80692594;91,17257503;2024-01-09 00:00:00;0;100;0,11684372;0;0,526961152;0,877521375;0,096471272;0,160038242
IQTR1867864904;D6H;DATAGROUP SE (XTRA:D6H);Information Technology;493,7432316;6,202015608;mid;0;1;0;11,6915;249,9905221;7,701129052;90,52894243;2024-01-09 00:00:00;0;100;0,927607653;0;0,54628852;0,886117866;0,706825921;1,153680201
IQTR1867871142;CWK;Cranswick plc (LSE:CWK);Real Estate;2270,955978;7,727956158;large;1;0;0;4,5251;678,8873371;9,875225109;29,21219421;2024-01-08 00:00:00;0;100;0,550428988;0;0,577714941;0,978652586;0,844202874;1,422799142
IQTR1867943768;PNN;Pennon Group Plc (LSE:PNN);Utilities;2722,798986;7,909415669;large;1;0;0;30,0214;1501,698188;2,147952201;34,26488785;2024-01-10 00:00:00;0;100;4,158955566;0;2,280041928;3,833501676;1,086188081;1,843745264
IQTR1867951711;TPFG;The Property Franchise Group PLC (AIM:TPFG);Real Estate;272,4640952;5,607506845;mid;0;1;0;39,9222;-28,46646289;13,24918894;370,856117;2024-01-10 00:00:00;0;;48,64494161;0;2,176072114;3,720579142;0,503003498;0,932131449
IQTR1867952221;OXIG;Oxford Instruments plc (LSE:OXIG);Information Technology;1674,434802;7,423230956;mid;0;1;0;16,9317;-64,40894712;16,13062804;216,8176257;2024-01-10 00:00:00;0;100;1,224293712;1;2,267946945;3,8221183;2,116850644;3,570291131
IQTR1867968271;VRSK;Verisk Analytics, Inc. (NasdaqGS:VRSK);Industrials;33488,73233;10,41896431;large;1;0;0;46,6211;223,3021358;6,932960766;767,0170709;2024-01-10 00:00:00;0;100;0,030159398;1;2,304860193;3,843815804;1,876554811;3,129973501
IQTR1867972568;ELIS;Elis SA (ENXTPA:ELIS);Industrials;4783,67825;8,472965038;large;1;0;0;30,6121;270,1409938;7,148452023;46,50086564;2024-01-10 00:00:00;0;100;0,808791854;1;2,305194404;3,880917718;2,857819819;4,801960076
IQTR1868194979;TNOM;Talenom Oyj (HLSE:TNOM);Industrials;301,9255207;5,710180367;mid;0;1;0;13,1079;471,2959671;5,837417977;155,4853631;2024-01-11 00:00:00;0;100;0,943941404;1;-2,521673799;-4,225066797;-2,863706352;-4,795121051
IQTR1868195000;ARPL;Arla Plast AB (OM:ARPL);Materials;77,67845;4,35257787;small;0;0;1;12,6194;-63,5440971;22,42740735;99,48895622;2024-01-11 00:00:00;0;100;12,82208901;1;-2,431284108;-4,112466438;-1,271806667;-2,180004035
IQTR1868249242;AQ;Aquila Part Prod Com S.A. (BVB:AQ);Industrials;881,0747626;6,781142483;mid;0;1;0;11,173;29,04191458;7,147650337;148,6692443;2024-01-11 00:00:00;0;100;2,049769301;0;-2,470422851;-4,153034654;-1,830716398;-3,086857232
IQTR1868454147;ELK;Elkem ASA (OB:ELK);Materials;1452,706331;7,281183531;mid;0;1;0;26,1947;180,6539038;12,60792076;29,17008435;2024-01-15 00:00:00;0;100;1,504777637;0;0,683034852;1,09598012;0,731605383;1,176931005
IQTR1868502052;ATT;Attendo AB  (OM:ATT);Financials;1475,835557;7,296979588;mid;0;1;0;0;;2,594404161;87,65902803;2024-01-15 00:00:00;0;100;6,243920576;0;0,727407754;1,184243263;0,379235545;0,603956247
IQTR1868534034;MET;Metir plc (AIM:MET);Financials;48946,62431;10,79848568;large;1;0;0;4,3721;1564,615385;3,001669614;7,118639222;2024-01-15 00:00:00;0;100;0,000222692;1;0,706040894;1,170769749;0,53143291;0,879756442
IQTR1868539728;EMBLA;Embla Medical hf. (CPSE:EMBLA);Health Care;1780,602828;7,484707253;mid;0;1;0;13,7826;364,8419031;5,243122159;128,5001052;2024-01-16 00:00:00;0;70,37;7,357058967;1;3,390440655;5,662793982;1,783540684;2,984627365
IQTR1868615074;FDE;La Française de l'Energie S.A. (ENXTPA:FDE);Energy;302,3740952;5,711664977;mid;0;1;0;79,2477;81,05235327;23,96513354;163,2989997;2024-01-16 00:00:00;0;100;0,899547958;1;3,335804156;5,597424217;1,859255726;3,136510168
IQTR1868718883;ELISA;Elisa Oyj (HLSE:ELISA);Communication Services;7612,212845;8,93750919;large;1;0;0;34,1985;174,8826611;2,029059748;220,4048187;2024-01-16 00:00:00;0;100;0,237513064;0;3,392881321;5,656888885;1,312617295;2,189782175
IQTR1868761574;HYQ;Hypoport SE (XTRA:HYQ);Financials;1176,300103;7,070129286;mid;0;1;0;0,5732;3068,778382;14,55960336;160,3003424;2024-01-18 00:00:00;0;100;0,850123193;0;0,800126885;1,324425175;1,977583299;3,286852532
IQTR1868762437;ASY;Assystem S.A. (ENXTPA:ASY);Industrials;331,4421078;5,803453157;mid;0;1;0;36,988;-15,6899011;25,73929785;335,4327173;2024-01-17 00:00:00;0;100;2,851176654;0;-1,761323361;-2,940313828;-0,411862669;-0,691212675
IQTR1868794280;DAY;Dayforce, Inc. (NYSE:DAY);Industrials;10257,184;9,235733617;large;1;0;0;14,0648;316,2517614;6,329001543;113,8308493;2024-01-18 00:00:00;0;100;1,750967907;1;0,783422127;1,300579319;0,937472398;1,557329771
IQTR1869025563;7272;Yamaha Motor Co., Ltd. (TSE:7272);Consumer Discretionary;9114,218737;9,117590972;large;1;0;0;12,9983;160,9008569;13,17433929;49,95247157;2024-01-19 00:00:00;0;100;0,893110011;1;-2,290643412;-3,840869216;-0,897525093;-1,519005351
IQTR1869068214;CPG;Compass Group PLC (LSE:CPG);Consumer Discretionary;46788,64369;10,7533958;large;1;0;0;7,8328;168,633235;3,096182118;208,4405207;2024-01-22 00:00:00;0;;1,291039775;0;0,815362629;1,389544821;0,207563936;0,376546999
IQTR1869071049;BRCK;Brickability Group Plc (AIM:BRCK);Industrials;226,9782709;5,42485429;mid;0;1;0;6,8741;174,9253458;3,448849147;39,44363767;2024-01-22 00:00:00;0;64,38;26,65453382;0;0,933056202;1,501997588;0,543920242;0,853437655
IQTR1869138949;IQST;iQSTEL Inc. (NasdaqCM:IQST);Communication Services;27,96303289;3,330883384;small;0;0;1;-0,0757;349,4016626;6,150440181;126,2117468;2024-01-22 00:00:00;0;60;17,88074999;1;1,084228256;1,612786978;1,989070408;3,120857231
IQTR1869141604;FDJU;FDJ United (ENXTPA:FDJU);Consumer Discretionary;6913,325014;8,84120599;large;1;0;0;23,0898;-53,97323598;14,32142096;166,3073053;2024-01-21 00:00:00;0;100;42,05096671;1;0,906777495;1,472572359;0,747442449;1,207013949
IQTR1869170290;BALCO;Balco Group AB (OM:BALCO);Industrials;102,9479843;4,634223853;small;0;0;1;8,9203;222,9497259;0,221354363;81,70079405;2024-01-22 00:00:00;0;79,99;15,87209319;1;0,853621966;1,423690592;0,472620253;0,788687737
IQTR1869185835;NET;Netcall plc (AIM:NET);Information Technology;28773,68818;10,26721664;large;1;0;0;-5,4879;335,1942668;3,147512091;1042,612952;2024-01-23 00:00:00;0;100;0,027386131;0;-3,52440688;-5,888396105;-6,87713888;-11,47628277
